StratNum,Weight,TotalN
1,0.0853175,135
2,0.012961589,19
3,0.046298454,82
4,0.060016256,86
5,0.033690236,49
6,0.081585918,134
7,0.072158027,103
8,0.037457154,53
9,0.10967172,177
10,0.145764868,206
11,0.036043676,51
12,0.150386946,231
13,0.114512882,164
14,0.014134775,20
