number,year,veg,bot,depth,temp,sal
0,2000,None,Sand,0.8,23.8,31
0,2000,None,Sand,0.8,25.8,30.3
0,2000,None,Mud,0.6,26,30.3
138,2000,None,Mud,0.5,23.8,36.7
355,2000,Seagrass,Mud,0.9,25.2,34.8
158,2000,Seagrass,Sand,0.4,26.1,35.5
154,2000,None,Mud,0.4,26.6,36.5
158,2000,Seagrass,Sand,0.5,26.7,36.5
0,2000,None,Sand,0.9,26.4,31.2
1,2000,Seagrass,Mud,0.6,26.8,31.3
0,2000,None,Sand,0.6,27.5,31.7
0,2000,None,Sand,1,27.55,31.75
0,2000,None,Sand,0.6,27.9,31.4
84,2000,Seagrass,Sand,0.7,27.1,31.8
0,2000,None,Sand,1,27.3,31.7
154,2000,Seagrass,Sand,0.8,28.2,30.6
43,2000,Seagrass,Sand,0.6,29.1,30.3
0,2000,None,Sand,0.7,29.1,30.5
367,2000,Seagrass,Sand,0.5,27.6,35.8
0,2000,None,Sand,0.6,27.6,35.6
777,2000,Seagrass,Sand,0.7,26.7,35.4
404,2000,Seagrass,Sand,0.6,28.8,35.6
876,2001,Seagrass,Sand,0.6,20,33
218,2001,Seagrass,Sand,0.6,19.55,32.4
959,2001,Seagrass,Mud,0.5,20,33.5
54,2001,Seagrass,Sand,0.4,22.2,33.7
0,2001,None,Sand,0.5,23.6,32.4
0,2001,None,Sand,0.4,20.2,31.9
1,2001,None,Sand,0.5,21.2,34.3
171,2001,Seagrass,Sand,0.5,21.9,33.1
58,2001,Seagrass,Sand,0.5,26.6,33.2
94,2001,Seagrass,Sand,0.3,24.4,30.6
0,2001,None,Sand,0.6,24.4,30.75
11,2001,None,Sand,0.6,22.95,30.5
15,2001,Seagrass,Sand,0.9,24.6,29.35
2,2001,Seagrass,Sand,0.8,26.6,29.5
2,2001,None,Sand,0.4,25.8,30.8
150,2001,Seagrass,Sand,0.5,23.1,32
3,2001,None,Sand,0.5,23.8,32.4
2,2001,None,Sand,1,22.5,31.25
214,2001,Seagrass,Sand,0.5,19.7,32.35
19,2001,Seagrass,Sand,0.4,19.6,31.3
9,2001,None,Sand,0.9,25.45,28.5
316,2001,None,Sand,0.5,24.9,29.7
214,2001,None,Mud,0.9,25.6,30.2
306,2001,Seagrass,Sand,0.9,26.1,30.5
0,2001,None,Sand,0.5,21.45,29.4
60,2001,None,Sand,0.9,23.5,32.05
0,2001,None,Sand,1,24.3,32.4
1,2001,Seagrass,Sand,0.5,25.7,32
941,2001,Seagrass,Mud,1,25.45,32.5
27,2001,Seagrass,Sand,1.2,24.5,32.1
0,2001,Seagrass,Sand,0.4,26.5,34.4
