number,year,veg,bot,depth,temp,sal
13,1995,Seagrass,Sand,0.9,23.6,24
11,1995,Seagrass,Sand,1.2,24.2,24.3
15,1995,Seagrass,Sand,0.8,24.7,23.8
0,1995,Seagrass,Sand,0.5,24.7,23.8
9,1995,Seagrass,Sand,0.9,24.8,22.1
0,1995,None,Sand,0.8,25.2,22.7
2,1995,None,Sand,0.7,23.1,25.6
0,1995,Seagrass,Sand,0.8,23.2,25.3
8,1995,None,Mud,0.8,24.3,23.6
2,1995,Seagrass,Sand,0.8,24.2,25.8
0,1995,None,Sand,1,24.9,24
106,1995,None,Sand,0.8,25.2,23.9
0,1995,None,Sand,0.5,26,23.2
4,1995,None,Mud,0.7,27.4,22.9
0,1995,Seagrass,Sand,0.4,23.2,27.5
199,1995,Seagrass,Mud,0.7,24,26.5
360,1995,Seagrass,Mud,0.9,23.4,25.7
0,1995,None,Sand,0.2,25.6,27
8,1995,None,Sand,1,25.6,27
0,1995,None,Mud,0.8,25.7,24.1
1,1995,None,Mud,0.2,24,25.8
0,1995,None,Sand,1.1,23.7,26
4,1995,None,Sand,0.3,23.7,25.8
1,1995,None,Sand,1.2,25.6,25.5
1823,1995,Seagrass,Sand,1.2,26.9,34.6
100,1995,Seagrass,Sand,1.1,27,33
574,1995,Seagrass,Mud,0.7,27.4,33
41,1995,Seagrass,Mud,0.5,26.8,32.8
58,1995,Seagrass,Sand,0.4,28.1,31.5
27,1995,Seagrass,Sand,0.7,22.6,32.1
200,1995,Seagrass,Sand,0.8,24.5,32.1
186,1995,Seagrass,Mud,0.5,22.5,32.5
315,1995,Seagrass,Mud,0.4,24.2,28.5
200,1995,Seagrass,Sand,0.4,23,16.8
0,1995,None,Sand,0.9,25.2,34.1
676,1995,Seagrass,Sand,0.9,25.4,34.3
182,1995,Seagrass,Sand,0.5,25.8,34.7
635,1995,Seagrass,Sand,1.5,26.7,31.8
336,1995,Seagrass,Sand,1.5,25.8,30.9
2,1995,None,Sand,1.2,27.3,33.6
167,1995,Seagrass,Sand,0.9,27.3,33.6
0,1995,None,Sand,1,25.5,32
1,1995,None,Sand,1.2,25.9,32.7
286,1995,Seagrass,Mud,0.5,25.9,32.7
49,1995,Seagrass,Sand,0.7,28.2,34.2
506,1995,None,Sand,0.5,26.8,33
5,1995,None,Mud,0.8,27.4,22.8
2,1995,None,Sand,0.8,26.3,22.8
26,1995,None,Mud,0.7,26.8,22
0,1995,Seagrass,Sand,0.5,27.7,24.9
0,1995,None,Sand,0.6,29.8,22.9
10,1995,None,Sand,0.7,27.7,23.5
0,1995,None,Sand,0.5,28.6,24.3
47,1995,Seagrass,Sand,1.1,28.4,24.5
10,1995,Seagrass,Mud,0.7,30.1,22.3
38,1995,None,Mud,0.7,30.7,22.5
0,1995,Seagrass,Sand,0.6,30.7,23
0,1995,None,Sand,0.3,31.5,23.3
93,1995,Seagrass,Sand,0.4,26.6,29.4
0,1995,Seagrass,Sand,0.7,27.5,28.9
0,1995,None,Sand,0.6,28.1,28.6
83,1995,Seagrass,Sand,0.9,27.9,28.7
0,1995,None,Sand,0.2,27.6,25.3
40,1995,Seagrass,Sand,0.5,25.7,27.2
8,1995,Seagrass,Sand,0.5,25.7,27.2
81,1995,Seagrass,Sand,0.6,28.3,26.7
181,1995,Seagrass,Sand,0.8,27.8,26.7
2,1995,Seagrass,Sand,0.8,28.4,27.3
0,1995,Seagrass,Sand,0.8,29.2,26.4
0,1995,None,Mud,1.1,32.1,24.7
32,1995,None,Mud,0.7,31.6,27
23,1995,Seagrass,Sand,1.1,29.3,26.4
2,1995,Seagrass,Sand,0.6,29.1,22.9
180,1995,Seagrass,Sand,0.5,29.1,27.9
0,1995,None,Mud,0.8,30.8,27.6
564,1996,Seagrass,Sand,0.8,23,35.5
22,1996,Seagrass,Sand,0.6,22.3,29.2
0,1996,None,Sand,0.3,23.4,28.4
3,1996,Seagrass,Sand,0.6,23.7,28.1
0,1996,None,Sand,1.1,19.9,19.4
4,1996,Seagrass,Sand,0.3,19.9,19.4
0,1996,None,Sand,0.5,19.5,20.9
2,1996,Seagrass,Sand,0.4,19.5,20.9
28,1996,Seagrass,Sand,0.4,19.5,20.9
9,1996,None,Sand,0.6,19.5,20.9
0,1996,None,Sand,0.2,19.5,20.9
0,1996,Seagrass,Sand,1,21.3,23
5,1996,Seagrass,Sand,0.5,22.8,22.4
8,1996,Seagrass,Sand,0.6,22.7,22.8
3,1996,None,Sand,0.4,21.7,24.4
830,1996,Seagrass,Sand,0.8,21.9,23.7
0,1996,Seagrass,Sand,0.5,22.2,23
11,1996,Seagrass,Sand,0.6,23.3,30.3
0,1996,Seagrass,Sand,0.7,24.1,30.9
19,1996,Seagrass,Sand,0.8,24.6,30.8
0,1996,None,Sand,0.4,25.1,28.9
8,1996,Seagrass,Sand,0.9,25.7,24.8
54,1996,Seagrass,Sand,0.8,26.2,22.7
661,1996,Seagrass,Mud,1,25.2,32.9
1,1996,None,Sand,0.9,25.2,32.4
0,1996,None,Sand,0.5,25.7,31
704,1996,Seagrass,Sand,0.6,25.8,29.7
11,1996,Seagrass,Sand,0.3,25.8,29.7
280,1996,Seagrass,Mud,1.1,26.3,32.1
42,1996,None,Sand,1.1,24.1,26.1
9,1996,Seagrass,Sand,0.5,24.5,31.8
299,1996,Seagrass,Mud,0.3,25.3,31.7
195,1996,Seagrass,Mud,0.6,24.5,32.6
207,1996,Seagrass,Sand,0.6,25,35
0,1996,None,Sand,0.7,24.7,35.8
0,1996,None,Sand,0.8,25.9,24.4
0,1996,Seagrass,Sand,0.3,27.3,22.6
0,1996,Seagrass,Mud,1.1,27.5,24.2
310,1996,Seagrass,Mud,1.1,27.8,24
2,1996,None,Mud,0.9,29.3,22.1
0,1996,Seagrass,Sand,0.7,31.2,22.9
0,1996,Seagrass,Mud,0.7,26.2,18.4
0,1996,Seagrass,Mud,0.4,26.5,19.1
0,1996,Seagrass,Sand,0.9,27.8,21.2
0,1996,None,Sand,0.9,28.4,20.3
0,1996,None,Sand,0.5,28.7,18.7
0,1996,Seagrass,Mud,0.3,30.6,18.4
3,1996,Seagrass,Mud,0.5,31.5,19.9
9,1996,Seagrass,Mud,0.2,28.5,19.4
4,1996,Seagrass,Sand,1,24.9,26.4
18,1996,Seagrass,Sand,1.1,27.1,32.1
0,1996,None,Sand,1.3,26.3,29.1
27,1996,Seagrass,Sand,0.6,27.3,33.4
546,1996,Seagrass,Sand,0.9,27.6,33.3
0,1996,None,Sand,0.9,26.6,31.7
384,1996,Seagrass,Sand,0.8,26.4,34.1
468,1996,Seagrass,Sand,1,26.6,33.9
70,1996,Seagrass,Sand,0.6,26.6,33.9
280,1996,Seagrass,Sand,1.2,27.4,33.4
40,1996,None,Sand,1.3,28,32.7
0,1996,None,Sand,1,27.8,34
125,1996,Seagrass,Mud,0.6,25.7,30.1
600,1996,Seagrass,Mud,1,25.6,29.4
38,1996,Seagrass,Sand,0.7,26.6,29.3
188,1996,Seagrass,Sand,0.7,27,29.6
4,1996,Seagrass,Sand,1,26.2,25.2
22,1996,None,Mud,0.6,27.5,22.9
4,1996,None,Sand,1,25.1,21.3
0,1996,None,Sand,0.9,27,24.1
0,1996,None,Sand,0.7,25.1,23.5
4,1996,None,Sand,1,31.4,24.9
1,1996,None,Sand,0.4,27.2,24.3
0,1996,None,Sand,1,27.2,22.9
0,1996,Seagrass,Sand,0.4,25.9,24.8
206,1996,Seagrass,Sand,0.6,26.2,28.4
2,1996,Seagrass,Mud,0.5,27.4,23
3,1996,Seagrass,Mud,0.4,29.3,24.2
17,1996,Seagrass,Sand,0.5,29.5,24
67,1996,Seagrass,Sand,0.6,29.3,23.5
0,1997,None,Sand,1,26,30.1
11,1997,None,Sand,0.5,24.6,29
0,1997,None,Sand,0.5,22.4,25.1
0,1997,None,Sand,0.5,23.8,29.9
0,1997,None,Sand,0.8,28.3,29.8
0,1997,None,Mud,0.5,25.1,28.9
0,1997,None,Mud,0.7,25.1,28.9
3,1997,None,Mud,0.5,24.5,28.4
0,1997,None,Mud,0.7,24.6,28.5
357,1997,Seagrass,Sand,0.4,22.7,33
29,1997,Seagrass,Sand,0.4,21.4,33.8
4,1997,Seagrass,Sand,0.3,21.2,34.9
3,1997,None,Sand,0.4,21.6,34.8
0,1997,None,Sand,0.5,22.2,34.4
11,1997,Seagrass,Sand,0.3,23.2,34.6
317,1997,Seagrass,Mud,0.8,22.9,34.3
65,1997,None,Sand,0.5,23.1,34.4
120,1997,Seagrass,Sand,0.4,23.5,34.6
6,1997,Seagrass,Sand,0.4,23.5,31
766,1997,Seagrass,Sand,0.7,23.7,34.1
52,1997,None,Mud,0.6,23.4,34.6
1,1997,None,Sand,0.9,22.4,31.1
145,1997,Seagrass,Sand,0.4,21.7,30.8
115,1997,Seagrass,Sand,0.4,22.5,31.9
28,1997,Seagrass,Sand,0.4,21.5,28
11,1997,Seagrass,Sand,0.4,22.4,26.1
21,1997,None,Sand,0.5,20.9,29
39,1997,Seagrass,Sand,0.5,20.9,29
94,1997,Seagrass,Sand,0.6,22.3,28.8
15,1997,None,Sand,0.6,19.9,29
174,1997,Seagrass,Sand,0.5,19.9,29.7
91,1997,Seagrass,Sand,0.6,19.4,25.6
0,1997,Seagrass,Sand,0.3,18.7,25.9
88,1997,Seagrass,Sand,0.6,21,30
0,1997,None,Mud,0.8,21.9,27.8
0,1997,Seagrass,Sand,0.5,22.9,27.6
1,1997,None,Sand,0.6,22.4,27.6
629,1997,Seagrass,Sand,0.9,20.9,33.3
13,1997,None,Sand,1,20.7,32.7
32,1997,Seagrass,Sand,0.5,20.7,31.8
26,1997,Seagrass,Mud,0.7,21.9,31.4
49,1997,Seagrass,Mud,0.6,22.1,32.7
154,1997,Seagrass,Sand,0.6,21.5,30.8
1,1997,Seagrass,Sand,0.9,22.4,34
37,1997,Seagrass,Mud,0.3,22.2,32.9
0,1997,Seagrass,Sand,0.3,24.1,28.1
161,1997,Seagrass,Mud,0.5,24.8,27.8
4,1997,Seagrass,Sand,0.8,24.5,31
72,1997,Seagrass,Sand,0.7,24.5,32.1
406,1997,Seagrass,Sand,0.6,26.3,32.4
15,1997,Seagrass,Sand,0.5,25.7,32.1
5,1997,Seagrass,Sand,0.4,25.1,32.3
15,1997,Seagrass,Sand,0.4,26.4,29.8
6,1997,None,Sand,0.5,24.8,31.3
94,1997,Seagrass,Sand,0.4,24.5,32.6
8,1997,Seagrass,Sand,0.5,24,33.8
140,1997,Seagrass,Sand,0.8,25,32.8
293,1997,Seagrass,Sand,0.4,25,32.5
0,1997,None,Sand,0.5,27.1,33.2
0,1997,None,Sand,0.8,25.7,34.2
0,1997,None,Sand,0.5,26.7,33.7
100,1997,Seagrass,Sand,0.8,24.4,33.8
202,1997,Seagrass,Sand,0.8,24.5,30
5,1997,Seagrass,Sand,0.7,24.5,33.9
1,1997,None,Sand,0.7,24.9,34.1
924,1997,Seagrass,Sand,1.1,24.6,34.7
0,1997,Seagrass,Mud,0.6,23.4,24.3
0,1997,None,Sand,0.6,24.1,26.7
0,1997,None,Mud,0.8,24.2,26.6
0,1997,None,Mud,0.8,24.1,26.9
3,1997,None,Mud,0.8,25.2,24.7
0,1997,Seagrass,Sand,0.9,25.8,27.8
0,1997,None,Sand,0.4,26.3,23.7
0,1997,None,Mud,0.9,26.9,27.6
4,1997,None,Sand,0.7,27.5,26.2
492,1997,Seagrass,Sand,0.9,24.1,26.8
2,1997,Seagrass,Sand,0.6,24.6,25.3
0,1997,Seagrass,Mud,0.6,25.6,20.9
3,1997,None,Mud,0.6,25.2,23.6
0,1997,None,Mud,0.3,25.8,25.1
0,1997,Seagrass,Sand,0.7,27.1,24.3
0,1997,None,Sand,0.5,28,25.1
9,1997,Seagrass,Sand,0.3,25,28.4
10,1997,Seagrass,Sand,0.7,25.5,25.8
1,1997,None,Mud,0.8,26,25.5
0,1997,None,Sand,0.3,26.7,27.3
0,1997,None,Sand,0.8,27.2,25.7
14,1997,None,Mud,0.7,27,30.5
147,1997,Seagrass,Mud,0.9,28.7,31.9
130,1997,Seagrass,Mud,0.6,30.7,30.6
