Year,Catch,Effort,CPUE
1965,94,53,1.78
1966,212,162,1.31
1967,195,214,0.91
1968,383,399,0.96
1969,320,364,0.88
1970,402,447,0.9
1971,366,421,0.87
1972,606,842,0.72
1973,378,663,0.57
1974,319,709,0.45
1975,309,736,0.42
1976,389,926,0.42
1977,277,565,0.49
1978,254,591,0.43
1979,170,425,0.4
1980,97,216,0.45
1981,91,165,0.55
1982,177,334,0.53
1983,216,372,0.58
1984,229,358,0.64
1985,211,320,0.66
1986,231,355,0.65
1987,223,354,0.63
