"","ID","ch","sex","stage","tail","stream","trout"
"62","GBR2-4-5","001000000000000000000000000000000010001100000000000000000010000000000000","F","A","Full","Bear","Present"
"63","GBR2-4-6","001000000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"64","GBR2-4-7","001000000010000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"65","GBR2-4-8","001000000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"66","GBR2-5-6","001000000000000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"67","GBR2-5-7","001000000000000000000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"68","GBR2-5-8","001110000000000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"69","GBR2-6-7","001000000000000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"70","GBR2-6-8","001000000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"71","GBR2-7-8","001000100000000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"72","GBR3-4-5","001000000000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"73","GBR3-4-6","000100000000000000000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"74","GBR3-4-7","000100000000000000000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"75","GBR3-4-8","000100000000000000000000000000000010000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"76","GBR3-5-6","000010000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"77","GBR3-5-7","000010000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"78","GBR3-6-7","000010000000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"79","GBR3-6-8","000010000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"80","GBR3-7-8","000010000000000000000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"81","GBR4-5-6","000010000000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"82","GBR4-5-7","000011000000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"83","GBR4-5-8","000010000000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"84","GBR4-6-7","000011001000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"85","GBR4-6-8","000010000000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"86","GBR4-7-8","000010000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"87","GBR5-6-7","000010000000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"88","GBR5-6-8","000011100100000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"89","GBR1-2Y3","000001100000000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"90","GBR1-2Y4","000001000000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"91","GBR1-2Y5","000001000000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"92","GBR1-2Y6","000001000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"93","GBR1-2Y7","000001000100000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"94","GBR1-2Y8","000001000000000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"95","GBR1-3Y4","000001000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"96","GBR1-3Y5","000001000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"97","GBR1-3Y6","000001000010000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"98","GBR1-3Y7","000001000000010000000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"99","GBR1-3Y8","000001000000000100000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"100","GBR1-4Y5","000001000000000000000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"101","GBR1-4Y6","000001010000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"102","GBR1-4Y7","000001000000000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"103","GBR1-4Y8","000001000001011000010000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"104","GBR1-5Y6","000001000000000000000000000000000000000000000000000000000000000000000000","U","M","Damaged","Bear","Present"
"105","GBR1-5Y7","000001000000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"106","GBR1-5Y8","000001000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"107","GBR1-6Y7","000001000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"108","GBR1-6Y8","000001000000000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"109","GBR1-7Y8","000001000001000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"110","GBR2-3Y4","000001000000000000000010000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"111","GBR5-7-8","000001000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"112","GBR2-3Y5","000000110000000000000000000000000000000000000000000000000000000000000010","M","A","Full","Bear","Present"
"113","GBR2-3Y6","000000100000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"114","GBR2-3Y7","000000100000000000100000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"115","GBR2-3Y8","000000100000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"116","GBR2-4Y5","000000100000000000000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"117","GBR2-4Y6","000000100000000001000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"118","GBR2-4Y7","000000100000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"119","GBR2-4Y8","000000100000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"120","GBR2-5Y7","000000010000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"121","GBR2-5Y8","000000010000000000000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"122","GBR2-6Y7","000000010000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"123","GBR2-6Y8","000000010000000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"124","GBR2-7Y8","000000010000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"125","GBR3-4Y5","000000010000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"126","GBR3-4Y6","000000010000000000000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"127","GBR3-4Y7","000000010000000000000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"128","GBR3-4Y8","000000010000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"129","GBR3-5Y6","000000010000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"130","GBR3-5Y7","000000010000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"131","GBR3-5Y8","000000010000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"132","GBR3-6Y7","000000010000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"133","GBR3-6Y8","000000010000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"134","GBR3-7Y8","000000010000000000000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"135","GBR4-5Y6","000000011000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"136","GBR4-5Y7","000000010000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"137","GBR4-5Y8","000000010000000000000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"138","GBR2-3Y1","000000001000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"139","GBR2-4Y1","000000001000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"140","GBR2-5Y1","000000001000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"141","GBR2-6Y1","000000001000000000000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"142","GBR2-7Y1","000000001000000000000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"143","GBR2-8Y1","000000001000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"144","GBR3-4Y1","000000001000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"145","GBR3-5Y1","000000001000000000000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"146","GBR3-6Y1","000000001000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"147","GBR5-6Y7","000000001000000000000100000000000000000000000000000000000000000000000000","F","A","Full","Bear","Present"
"148","GBR5-6Y8","000000001000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"149","GBR6-7Y8","000000001000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"150","GBB1-2","000000000100000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"151","GBB2","000000000110000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"152","GBB3","000000000100000000000100000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"153","GBB4","000000000100000000000000000000000010000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"154","GBB5","000000000100000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"155","GBB6","000000000100000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"156","GBB7","000000000100000000010000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"157","GBB8","000000000100000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"158","GBB1-3","000000000010001000100000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"159","GBB1-4","000000000010000000000001000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"160","GBB1-5","000000000010000000000000000100000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"161","GBB1-6","000000000010000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"162","GBB1-7","000000000010000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"163","GBB1-8","000000000010000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"164","GBB2-3","000000000010000000000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"165","GBB2-4","000000000010000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"166","GBB2-5","000000000011000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"167","GBB2-6","000000000010000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"168","GBB2-7","000000000010100010000000100000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"169","GBB2-8","000000000010000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"170","GBB3-4","000000000010000000000000000000010000000000000000000000000000000000000000","U","M","Full","Bear","Present"
"171","GBB3-5","000000000010000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"172","GBB3-6","000000000010000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"173","GBB3-7","000000000010000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"174","GBB3-8","000000000010000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"175","GBB4-5","000000000010000000000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"176","GBB4-6","000000000010000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"177","GBB1-2-3","000000000001100000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"178","GBB1-2-4","000000000001000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"179","GBB1-2-5","000000000001000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"180","GBB1-2-6","000000000001000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"181","GBB1-2-7","000000000001000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
